"nuvirdi";"teg_eign";"matssvaedi";"ibm2"
22360;"Íbúðareign";100;84.9
22872;"Íbúðareign";72;83.8
7262;"Einbýlishús";100;36
53880;"Einbýlishús";120;177.3
14889;"Íbúðareign";100;68.9
66869;"Einbýlishús";283;270
23348;"Íbúðareign";20;59.6
18989;"Íbúðareign";160;95
15939;"Íbúðareign";160;80.7
25209;"Íbúðareign";100;88
18649;"Íbúðareign";100;71.7
16167;"Íbúðareign";283;62.6
12796;"Íbúðareign";20;43.2
12397;"Íbúðareign";100;44.9
24369;"Íbúðareign";180;111.4
27635;"Íbúðareign";20;101.1
66507;"Einbýlishús";220;296
66836;"Íbúðareign";70;183.7
17021;"Íbúðareign";150;82
45389;"Einbýlishús";120;174.5
24179;"Íbúðareign";130;97.3
19398;"Íbúðareign";120;95.6
25978;"Íbúðareign";150;70
17996;"Íbúðareign";85;68.6
21454;"Íbúðareign";200;102.7
13129;"Íbúðareign";91;43.4
21175;"Íbúðareign";100;85.6
16836;"Íbúðareign";160;85.3
21233;"Íbúðareign";90;59.1
30572;"Íbúðareign";80;106.7
18371;"Íbúðareign";170;97.6
16972;"Íbúðareign";160;55.2
21083;"Íbúðareign";130;84.4
20921;"Íbúðareign";130;81.3
22344;"Íbúðareign";11;78.4
13197;"Íbúðareign";150;58.8
64230;"Einbýlishús";283;297.5
36050;"Íbúðareign";90;118.3
14293;"Íbúðareign";25;37.2
43887;"Íbúðareign";72;172.3
27459;"Íbúðareign";100;105.2
49343;"Einbýlishús";75;116.1
27972;"Íbúðareign";90;97.5
16957;"Íbúðareign";70;74.8
14000;"Íbúðareign";100;50.2
31449;"Íbúðareign";180;130.4
16731;"Íbúðareign";100;74.6
20096;"Íbúðareign";130;82.5
32231;"Íbúðareign";100;122
22100;"Íbúðareign";100;85.1
17190;"Íbúðareign";100;68.5
25300;"Íbúðareign";270;93.2
28264;"Íbúðareign";130;126.6
48832;"Einbýlishús";220;141.4
80697;"Einbýlishús";280;178.4
22285;"Íbúðareign";72;75.1
33904;"Íbúðareign";130;140
16996;"Íbúðareign";90;69.3
29156;"Íbúðareign";150;89.4
16351;"Íbúðareign";80;63.2
19391;"Íbúðareign";100;72.2
24972;"Íbúðareign";70;81.5
14806;"Íbúðareign";160;75.6
31472;"Íbúðareign";210;115.1
19772;"Íbúðareign";130;82
38571;"Einbýlishús";120;138.7
25394;"Íbúðareign";120;98.7
13200;"Íbúðareign";200;56.6
15296;"Íbúðareign";280;53.6
17968;"Íbúðareign";160;84.9
42150;"Íbúðareign";20;113.9
13300;"Íbúðareign";161;72.2
13857;"Íbúðareign";150;64.8
21800;"Íbúðareign";20;91.2
68898;"Einbýlishús";25;156.9
31560;"Einbýlishús";160;144
18600;"Einbýlishús";100;67.5
20970;"Íbúðareign";20;64
24844;"Íbúðareign";180;95.8
11600;"Íbúðareign";161;54.3
18386;"Íbúðareign";130;77.7
22000;"Íbúðareign";180;87
18753;"Íbúðareign";100;59.4
18060;"Íbúðareign";90;68
17964;"Íbúðareign";100;61.9
15990;"Íbúðareign";161;92.2
24257;"Íbúðareign";200;128.4
